"01.06.2025",,,,,,,,,,
"02.06.2025",,,,,,,,,,
"03.06.2025",,,,,,,,,,
"04.06.2025",,,,,,,,,,
"05.06.2025",,,,,,,,,,
"06.06.2025",,,,,,,,,,
"07.06.2025",,,,,,,,,,
"08.06.2025",,,,,,,,,,
"09.06.2025",,,,,,,,,,
"10.06.2025",,,,,,,,,,
"11.06.2025",,,,,,,,,,
"12.06.2025",,,,,,,,,,
"13.06.2025",,,,,,,,,,
"14.06.2025",,,,,,,,,,
"15.06.2025",,,,,,,,,,
"16.06.2025",,,,,,,,,,
"17.06.2025",,,,,,,,,,
"18.06.2025",,,,,,,,,,
"19.06.2025",,,,,,,,,,
"20.06.2025",,,,,,,,,,
"21.06.2025",,,,,,,,,,
"22.06.2025",,,,,,,,,,
"23.06.2025",,,,,,,,,,
"24.06.2025",,,,,,,,,,
"25.06.2025",,,,,,,,,,
"26.06.2025",3,"1 Пар. 1-3",1,"1 Тим. 1",0,"Обитающий в нас Христос, 3",1,"Божье домо-строительство, 5",0,"ЖИ Первой и Второй книг паралипоменон, 1"
"27.06.2025",3,"1 Пар. 4-6",1,"1 Тим. 2",1,"Обитающий.., 4",1,"Божье.., 13",1,"ЖИ .. паралипоменон, 1"
"28.06.2025",3,"1 Пар. 7-9",1,"1 Тим. 3",1,"Обитающий.., 5",1,"Божье.., 16",1,"ЖИ .. паралипоменон, 2"
"29.06.2025",,,,,,,,,,
"30.06.2025",,,,,,,,,,
