"01.10.2025",,,,,,,,,,
"02.10.2025",,,,,,,,,,
"03.10.2025",,,,,,,,,,
"04.10.2025",,,,,,,,,,
"05.10.2025",,,,,,,,,,
"06.10.2025",,,,,,,,,,
"07.10.2025",,,,,,,,,,
"08.10.2025",,,,,,,,,,
"09.10.2025",,,,,,,,,,
"10.10.2025",,,,,,,,,,
"11.10.2025",,,,,,,,,,
"12.10.2025",,,,,,,,,,
"13.10.2025",,,,,,,,,,
"14.10.2025",,,,,,,,,,
"15.10.2025",,,,,,,,,,
"16.10.2025",,,,,,,,,,
"17.10.2025",,,,,,,,,,
"18.10.2025",,,,,,,,,,
"19.10.2025",,,,,,,,,,
"20.10.2025",,,,,,,,,,
"21.10.2025",,,,,,,,,,
"22.10.2025",,,4,"Деян. 12-15",,,,,,
"23.10.2025",,,4,"Деян. 16-18, Рим. 1",,,,,,
"24.10.2025",,,4,"Деян. 19-22",,,,,,
"25.10.2025",,,4,"Деян. 23-26",,,,,,
"26.10.2025",,,,,,,,,,
"27.10.2025",,,,,,,,,,
"28.10.2025",,,,,,,,,,
"29.10.2025",,,,,,,,,,
"30.10.2025",,,,,,,,,,
"31.10.2025",,,,,,,,,,
