"01.09.2025",,,1,"Ин. 12",,,,,,
"02.09.2025",,,,,,,,,,
"03.09.2025",,,,,,,,,,
"04.09.2025",,,,,,,,,,
"05.09.2025",,,1,"Ин. 15",,,,,,
"06.09.2025",,,1,"Ин. 16",,,,,,
"07.09.2025",,,1,"Ин. 17",,,,,,
"08.09.2025",0,"Быт. 40-42",0,"Мф. 26",,,,,,
"09.09.2025",,,,,,,,,,
"10.09.2025",,,,,,,,,,
"11.09.2025",,,,,,,,,,
"12.09.2025",,,,,,,,,,
"13.09.2025",,,,,,,,,,
"14.09.2025",,,,,,,,,,
"15.09.2025",,,,,,,,,,
"16.09.2025",,,,,,,,,,
"17.09.2025",,,,,,,,,,
"18.09.2025",,,,,,,,,,
"19.09.2025",,,,,,,,,,
"20.09.2025",,,,,,,,,,
"21.09.2025",,,,,,,,,,
"22.09.2025",,,,,,,,,,
"23.09.2025",,,,,,,,,,
"24.09.2025",,,,,,,,,,
"25.09.2025",,,,,,,,,,
"26.09.2025",,,,,,,,,,
"27.09.2025",,,,,,,,,,
"28.09.2025",,,,,,,,,,
"29.09.2025",,,,,,,,,,
"30.09.2025",,,,,,,,,,
